,name,rating,reviews,ctype,hq,old,employees
8,FCm Travel Solut...,3.6,(237 Reviews),Private,Brisbane + 21 more,36 years old,1k-5k Employees (India)
9,Dainik Jagran,3.8,(237 Reviews),Public,"Noida,Uttar Pradesh + 50 more",80 years old,201-500 Employees (India)
10,ANZ Support Serv...,4.4,(237 Reviews),Bengaluru/Bangalore + 2 more,,,
11,GS Engineering &...,4.1,(237 Reviews),Seoul + 15 more,53 years old,201-500 Employees (India),
12,Welspun Corp,3.9,(237 Reviews),Mumbai + 16 more,37 years old,5k-10k Employees (India),
13,Realty Assistant,4.7,(237 Reviews),Private,"Noida,Uttar Pradesh + 5 more",3 years old,201-500 Employees (India)
14,SUEZ Environneme...,4.1,(458 Reviews),Private,"Paris,Ile De France + 27 more",25 years old,1k-5k Employees (India)
15,ELGI Equipments,4.0,(254 Reviews),Public,"Coimbatore,Tamil Nadu + 21 more",62 years old,1k-5k Employees (India)
16,Dineshchandra R ...,3.9,(236 Reviews),Private,"Ahmedabad,Gujarat + 36 more",50 years old,1k-5k Employees (India)
17,Brigade Group,4.2,(236 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",36 years old,1k-5k Employees (India)
18,VDA Infosolution...,3.7,(236 Reviews),Private,"Mumbai,Maharashtra + 21 more",12 years old,201-500 Employees (India)
19,Subex,3.5,(236 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 4 more",30 years old,501-1k Employees (India)
20,Eli Lilly and Co...,4.4,(236 Reviews),Public,"Indianapolis,Indiana + 18 more",29 years old,1k-5k Employees (India)
21,Easyday Club,4.4,(235 Reviews),"Mumbai,Maharashtra + 62 more",14 years old,1-10 Employees (India),
22,Techno Electric ...,4.0,(235 Reviews),Public,"Kolkata,West Bengal + 37 more",59 years old,201-500 Employees (India)
23,Zoomcar,3.9,(235 Reviews),Private,"Bangalore,Karnataka + 28 more",10 years old,1k-5k Employees (India)
24,P&O Cruises,4.5,(235 Reviews),Private,Southampton + 8 more,185 years old,11-50 Employees (India)
25,Worldline Global...,4.0,(235 Reviews),Private,"Bezons,Val Doise + 20 more",48 years old,1k-5k Employees (India)
26,DataTrained,4.5,(235 Reviews),LLP,"Bangalore,Karnataka + 1 more",10 years old,51-200 Employees (India)
27,Impetus Technolo...,3.9,(235 Reviews),Private,Los Gatos + 14 more,31 years old,1k-5k Employees (India)
28,Merck,4.1,(505 Reviews),Private,"Rahway,New Jersey + 35 more",131 years old,1k-5k Employees (India)
29,NICE,4.0,(271 Reviews),Public,"Pune,Maharashtra + 10 more",36 years old,1k-5k Employees (India)
0,UDAAN CARGO & LO...,4.3,(234 Reviews),Private,New Delhi + 60 more,7 years old,201-500 Employees (India)
1,Consulting Engin...,4.3,(234 Reviews),Public,"Jaipur,Rajasthan + 40 more",38 years old,501-1k Employees (India)
2,BPTP,4.2,(234 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",19 years old,501-1k Employees (India)
3,Prem Motors,3.9,(234 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",32 years old,1k-5k Employees (India)
4,Deenanath Manges...,4.3,(234 Reviews),Private,"Pune,Maharashtra + 7 more",21 years old,11-50 Employees (India)
5,Sotc Travel Serv...,3.8,(233 Reviews),Private,Mumbai + 31 more,73 years old,1k-5k Employees (India)
6,HSBC Global Serv...,4.1,(233 Reviews),Private,London + 9 more,157 years old,10k-50k Employees (India)
7,National Contrac...,3.9,(233 Reviews),Private,Al-Khobar + 17 more,55 years old,501-1k Employees (India)
8,Roca Bathroom Pr...,4.0,(233 Reviews),Private,Municipality Of GavÃ + 38 more,16 years old,1k-5k Employees (India)
9,Unitech,4.0,(233 Reviews),Public,"Gurgaon/Gurugram,Haryana + 18 more",51 years old,1k-5k Employees (India)
10,XL Health,4.4,(233 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 1 more",25 years old,11-50 Employees (India)
11,ITC Limited Food...,4.1,(233 Reviews),Kolkata + 36 more,112 years old,10k-50k Employees (India),
12,Fluper,4.0,(233 Reviews),Public,"Noida,Uttar Pradesh + 1 more",9 years old,201-500 Employees (India)
13,Appsierra,4.9,(233 Reviews),Private,"Noida,Uttar Pradesh + 7 more",7 years old,51-200 Employees (India)
14,Tirumala Milk Pr...,4.1,(232 Reviews),Private,"Chennai,Tamil Nadu + 34 more",26 years old,201-500 Employees (India)
15,Ashiana Housing,4.2,(232 Reviews),Public,"Delhi/NCR,Delhi + 14 more",43 years old,1k-5k Employees (India)
16,Henry Harvin Edu...,4.7,(232 Reviews),"Noida,Uttar Pradesh + 6 more",7 years old,51-200 Employees (India),
17,Teradata,4.2,(232 Reviews),Private,"San Diego,California + 7 more",43 years old,1k-5k Employees (India)
18,Bharat Bijlee,4.2,(232 Reviews),Public,"Mumbai,Maharashtra + 15 more",76 years old,501-1k Employees (India)
19,Jumio,4.1,(232 Reviews),Private,"Palo Alto,California + 5 more",12 years old,201-500 Employees (India)
20,SNS College of T...,4.9,(232 Reviews),501-1k Employees (India),,,
21,ASM Technologies,3.5,(232 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 15 more",30 years old,501-1k Employees (India)
22,Varroc Engineeri...,3.8,(232 Reviews),Aurangabad + 13 more,32 years old,1k-5k Employees (India),
23,Syrma Technology,4.0,(232 Reviews),Private,"Chennai,Tamil Nadu + 7 more",18 years old,201-500 Employees (India)
24,Hindustan Times,3.8,(978 Reviews),Private,"Delhi/NCR,Delhi + 36 more",98 years old,1k-5k Employees (India)
25,Hinduja Housing ...,4.1,(231 Reviews),Private,"Chennai,Tamil Nadu + 81 more",7 years old,1k-5k Employees (India)
26,L&T Heavy Civil ...,4.5,(231 Reviews),Chennai + 34 more,5k-10k Employees (India),,
27,Chambal Fertilis...,4.0,(231 Reviews),Public,"Kota,Rajasthan + 36 more",37 years old,1k-5k Employees (India)
28,Infiniti Researc...,3.8,(231 Reviews),Private,London + 1 more,19 years old,501-1k Employees (India)
29,Yodlee,3.8,(231 Reviews),Private,"Redwood City,San Francisco + 3 more",23 years old,1k-5k Employees (India)
0,Jetking Infotrai...,3.9,(231 Reviews),Public,"Mumbai,Maharashtra + 46 more",75 years old,51-200 Employees (India)
1,CAPGEMINI INDIA...,3.7,(231 Reviews),Bengaluru/Bangalore + 11 more,,,
2,Country Holidays...,4.5,(231 Reviews),Private,"New Delhi,Delhi + 6 more",51-200 Employees (India),
3,FabHotels,3.4,(231 Reviews),Private,"Gurgaon,Haryana + 24 more",8 years old,501-1k Employees (India)
4,Indostar Capital...,4.1,(231 Reviews),Public,"Mumbai,Maharashtra + 106 more",11 years old,501-1k Employees (India)
5,Ingersoll Rand,4.3,(261 Reviews),Public,"Dublin,Dublin + 20 more",50 years old,1k-5k Employees (India)
6,Anmol Industries,4.0,(230 Reviews),Public,"Kolkata,West Bengal + 33 more",28 years old,501-1k Employees (India)
7,Sahyadri Hospita...,4.1,(230 Reviews),Private,"Pune,Maharashtra + 3 more",28 years old,1k-5k Employees (India)
8,Instrakart Pvt L...,4.0,(230 Reviews),Bengaluru/Bangalore + 62 more,1k-5k Employees (India),,
9,India Nippon Ele...,4.1,(230 Reviews),Public,"Hosur,Tamil Nadu + 15 more",38 years old,501-1k Employees (India)
10,Kores,3.8,(230 Reviews),Private,"Mumbai,Maharashtra + 27 more",86 years old,1k-5k Employees (India)
11,Cadbury,4.5,(230 Reviews),Private,London + 58 more,198 years old,1k-5k Employees (India)
12,Celebi NAS Airpo...,4.3,(230 Reviews),Private,"Mumbai,Maharashtra + 6 more",14 years old,201-500 Employees (India)
13,Angelique Intern...,4.4,(230 Reviews),Private,"Delhi/NCR,New Delhi + 12 more",26 years old,501-1k Employees (India)
14,Einfochips,3.7,(230 Reviews),Private,"San Jose,California + 3 more",28 years old,1k-5k Employees (India)
15,PC Solutions,3.8,(230 Reviews),Private,"Delhi/NCR,Delhi + 12 more",34 years old,201-500 Employees (India)
16,TCG Lifesciences,4.0,(230 Reviews),Public,"Kolkata,West Bengal + 6 more",21 years old,1k-5k Employees (India)
17,Yum!,4.1,(1.9k Reviews),Private,"Colonel Sanders Lane,Louisville + 24 more",25 years old,501-1k Employees (India)
18,Becton Dickinson,4.2,(241 Reviews),"Franklin Lakes,New Jersey + 21 more",21 years old,1k-5k Employees (India),
19,PayU Payments,4.2,(234 Reviews),Private,Amsterdam + 10 more,20 years old,1k-5k Employees (India)
20,Myk Laticrete,4.0,(229 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",22 years old,1k-5k Employees (India)
21,Piramal Swasthya,4.0,(229 Reviews),NGO/NPO,"Hyderabad/Secunderabad,Telangana + 34 more",15 years old,10k-50k Employees (India)
22,Tata Toyo Radiat...,3.5,(229 Reviews),"Pune,Maharashtra + 8 more",24 years old,201-500 Employees (India),
23,L&T Realty,4.5,(229 Reviews),Mumbai + 7 more,201-500 Employees (India),,
24,Uniparts Group,4.1,(229 Reviews),Private,"Noida,Uttar Pradesh + 14 more",38 years old,501-1k Employees (India)
25,Continental Engi...,4.1,(229 Reviews),Private,New Delhi + 23 more,39 years old,10k-50k Employees (India)
26,DEN Networks,3.9,(229 Reviews),Public,"Delhi,NCT + 25 more",15 years old,1k-5k Employees (India)
27,Me n Moms,3.1,(229 Reviews),Private,"Mumbai,Maharashtra + 34 more",28 years old,201-500 Employees (India)
28,Bsh Household Ap...,4.2,(229 Reviews),"Munich,Munich + 29 more",55 years old,1k-5k Employees (India),
29,Bharat Aluminium...,4.0,(229 Reviews),Private,"Delhi/NCR,New Delhi + 10 more",57 years old,1k-5k Employees (India)
0,CSG Internationa...,4.3,(229 Reviews),Private,"Englewood,Colorado + 2 more",28 years old,1k-5k Employees (India)
1,Kuehne + Nagel,4.2,(229 Reviews),Private,"Schindellegi,Feusisberg + 25 more",132 years old,1k-5k Employees (India)
2,MSD Pharmaceutic...,3.9,(229 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",57 years old,1k-5k Employees (India)
3,Capco Technologi...,3.8,(228 Reviews),Private,London + 9 more,24 years old,1k-5k Employees (India)
4,JNS Instruments,3.8,(228 Reviews),Public,Gurgaon + 12 more,21 years old,501-1k Employees (India)
5,Maxxis Rubber,3.4,(228 Reviews),Private,"Ahmedabad,Gujarat + 12 more",7 years old,51-200 Employees (India)
6,Solara Active Ph...,3.8,(228 Reviews),Public,"Chennai,Tamil Nadu + 11 more",4 years old,1k-5k Employees (India)
7,Omkar Realtors a...,4.4,(228 Reviews),Private,Mumbai + 9 more,19 years old,201-500 Employees (India)
8,Amrit Cement,4.0,(228 Reviews),Private,"Kolkata,West Bengal + 15 more",14 years old,501-1k Employees (India)
9,Coffee Day,3.5,(228 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 33 more",29 years old,1k-5k Employees (India)
10,Bharat Seats,3.7,(228 Reviews),Public,"Gurgaon/Gurugram,Haryana + 8 more",36 years old,201-500 Employees (India)
11,ManipalCigna Hea...,4.0,(228 Reviews),JV,"Mumbai,Maharashtra + 67 more",10 years old,1k-5k Employees (India)
12,Tsys Card Tech S...,4.3,(228 Reviews),"Columbus,Georgia + 2 more",38 years old,1k-5k Employees (India),
13,Netafim Irrigati...,4.2,(269 Reviews),Private,"Vadodara/Baroda,Gujarat + 47 more",57 years old,1k-5k Employees (India)
14,Symbiotec Pharma...,3.9,(227 Reviews),Private,"Indore,Madhya Pradesh + 5 more",28 years old,51-200 Employees (India)
15,MetroTelworks,3.9,(227 Reviews),Private,Ahmedabad + 30 more,18 years old,51-200 Employees (India)
16,Hettich,3.8,(227 Reviews),Private,Kirchlengern + 23 more,134 years old,201-500 Employees (India)
17,Exicom,3.9,(227 Reviews),Public,"Gurgaon,Haryana + 15 more",28 years old,501-1k Employees (India)
18,Harsha Engineers,4.1,(227 Reviews),Private,"Ahmedabad,Gujarat + 7 more",36 years old,501-1k Employees (India)
19,Tata BlueScope S...,3.7,(227 Reviews),Private,"Pune,Maharashtra + 22 more",20 years old,501-1k Employees (India)
20,Samvardhana Moth...,3.8,(3.7k Reviews),Noida + 22 more,47 years old,5k-10k Employees (India),
21,Reliance Jewels,4.3,(226 Reviews),Private,"Mumbai,Maharashtra + 65 more",15 years old,201-500 Employees (India)
22,L. N. Malviya In...,3.9,(226 Reviews),Private,"Bhopal,Madhya Pradesh + 60 more",12 years old,1k-5k Employees (India)
23,SOLAR INDUSTRIES...,4.0,(226 Reviews),Public,"Nagpur,Maharashtra + 25 more",27 years old,5k-10k Employees (India)
24,Lotte India Corp...,3.9,(226 Reviews),Public,"Chennai,Tamil Nadu + 48 more",18 years old,501-1k Employees (India)
25,Tanishq Jeweller...,4.5,(226 Reviews),Bengaluru + 84 more,28 years old,501-1k Employees (India),
26,LanceSoft,3.5,(226 Reviews),Private,Herndon + 16 more,22 years old,201-500 Employees (India)
27,Gokaldas Exports,4.0,(226 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",43 years old,10k-50k Employees (India)
28,Mitsuba Sical,3.7,(226 Reviews),Public,Michigan + 13 more,25 years old,201-500 Employees (India)
29,Henkel Adhesives...,4.3,(226 Reviews),Private,"Düsseldorf,North Rhine-Westphalia + 15 more",32 years old,501-1k Employees (India)
0,Tanishq Jeweller...,4.5,(226 Reviews),Bengaluru + 84 more,28 years old,501-1k Employees (India),
1,Regalix,3.5,(226 Reviews),Private,San Mateo + 2 more,17 years old,1k-5k Employees (India)
2,Agilent Technolo...,4.2,(243 Reviews),Private,"Santa Clara,California + 12 more",23 years old,1k-5k Employees (India)
3,Go First,3.2,(225 Reviews),Public,"Mumbai,Maharashtra + 28 more",17 years old,1k-5k Employees (India)
4,Country Inns & S...,3.9,(225 Reviews),Private,"Minnetonka,Minnesota + 22 more",37 years old,11-50 Employees (India)
5,Reliance Fresh,4.4,(225 Reviews),Private,Mumbai + 52 more,16 years old,1k-5k Employees (India)
6,Ircon Internatio...,4.0,(225 Reviews),Private,"Delhi/NCR,Delhi + 34 more",46 years old,1k-5k Employees (India)
7,Lloyd Insulation...,3.7,(225 Reviews),Private,"Delhi/NCR,Delhi + 20 more",64 years old,501-1k Employees (India)
8,Star Bazaar,4.2,(225 Reviews),Private,"Mumbai,Maharashtra + 18 more",24 years old,1k-5k Employees (India)
9,Sri Krishna Phar...,3.9,(225 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",48 years old,201-500 Employees (India)
10,Satyam Venture E...,3.2,(225 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",22 years old,501-1k Employees (India)
11,Cooper Corporati...,3.5,(225 Reviews),Private,"Pune,Maharashtra + 6 more",100 years old,1k-5k Employees (India)
12,Samsonite,4.1,(225 Reviews),Private,"Mumbai,Maharashtra + 38 more",112 years old,201-500 Employees (India)
13,Quintessence Bus...,4.1,(225 Reviews),Private,"Dallas,Texas",11 years old,501-1k Employees (India)
14,Ashapura Group O...,4.0,(225 Reviews),Public,"Mumbai,Maharashtra + 26 more",62 years old,201-500 Employees (India)
15,Rieter,3.9,(225 Reviews),Private,"Khandala,Punjab + 8 more",27 years old,501-1k Employees (India)
16,Thryve Digital,4.2,(225 Reviews),LLP,"Chennai,Tamil Nadu + 2 more",6 years old,1k-5k Employees (India)
17,Axtria,3.5,(225 Reviews),Private,"Berkeley Heights,New Jersey + 7 more",12 years old,1k-5k Employees (India)
18,Forever Living P...,4.5,(224 Reviews),Private,"Scottsdale,Arizona + 33 more",44 years old,11-50 Employees (India)
19,National Enginee...,4.0,(224 Reviews),Private,"Jaipur,Rajasthan + 17 more",76 years old,1k-5k Employees (India)
20,Runwal Group,4.0,(224 Reviews),"Mumbai,Maharashtra + 5 more",44 years old,201-500 Employees (India),
21,Pratibha Industr...,4.2,(224 Reviews),Public,"Mumbai,Maharashtra + 17 more",40 years old,501-1k Employees (India)
22,Aurionpro Soluti...,4.0,(224 Reviews),Public,"Mumbai,Maharashtra + 26 more",25 years old,1k-5k Employees (India)
23,Aculife Healthca...,3.7,(224 Reviews),Private,"Ahmedabad,Gujrat + 19 more",8 years old,1k-5k Employees (India)
24,Narayana e-Techn...,3.8,(224 Reviews),Private,Hyderabad + 31 more,10 years old,501-1k Employees (India)
25,Kutchina,3.9,(224 Reviews),Private,"Kolkata,West Bengal + 44 more",19 years old,201-500 Employees (India)
26,TI Cycles of Ind...,4.2,(224 Reviews),Public,"Chennai,Tamil Nadu + 22 more",73 years old,1k-5k Employees (India)
27,Gujarat Ambuja E...,3.8,(223 Reviews),Public,"Ahmedabad,Gujarat + 25 more",31 years old,1k-5k Employees (India)
28,Kiya.ai,3.3,(223 Reviews),"Mumbai,Maharashtra + 5 more",27 years old,201-500 Employees (India),
29,Sany Heavy Indus...,4.0,(222 Reviews),Private,"Beijing,Beijing + 36 more",33 years old,501-1k Employees (India)
0,New Holland Fiat...,4.2,(222 Reviews),Private,"Delhi/NCR,Delhi + 33 more",24 years old,501-1k Employees (India)
1,Bharat Oman Refi...,3.7,(222 Reviews),Public,"Bina,Madhya Pradesh + 16 more",11 years old,501-1k Employees (India)
2,Holcim,3.6,(222 Reviews),Private,Navi Mumbai + 25 more,110 years old,1k-5k Employees (India)
3,S. M. Auto Engin...,3.5,(222 Reviews),Private,"Pune,Maharashtra + 4 more",46 years old,501-1k Employees (India)
4,Wirpo Technologi...,3.8,(222 Reviews),Bengaluru/Bangalore + 19 more,1 Lakh+ Employees (Global),,
5,Waaree Energies,3.6,(222 Reviews),Private,"Mumbai,Maharashtra + 23 more",33 years old,51-200 Employees (India)
6,Tally Solutions,4.4,(223 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 45 more",36 years old,501-1k Employees (India)
7,Rolta India,3.0,(221 Reviews),Public,"Mumbai,Maharashtra + 10 more",33 years old,501-1k Employees (India)
8,ReGen Powertech,3.9,(221 Reviews),Private,"Chennai,Tamil Nadu + 17 more",16 years old,501-1k Employees (India)
9,Fenesta Building...,4.2,(221 Reviews),Private,"Gurgaon/Gurugram,Haryana + 37 more",19 years old,501-1k Employees (India)
10,Cosmo Films,4.2,(221 Reviews),Public,"Delhi/NCR,New Delhi + 5 more",41 years old,1k-5k Employees (India)
11,Nature's Basket,4.0,(221 Reviews),Private,"Mumbai,Maharashtra + 7 more",17 years old,501-1k Employees (India)
12,Wolters Kluwer,3.9,(221 Reviews),"Alphen Aan Den Rijn,South Holland + 10 more",186 years old,1k-5k Employees (India),
13,Talbros,3.8,(265 Reviews),Public,"Gurgaon/Gurugram,Haryana + 11 more",66 years old,501-1k Employees (India)
14,Infosys Consulti...,3.9,(262 Reviews),Zurich + 21 more,18 years old,1 Lakh+ Employees (India),
15,Mahindra Insuran...,4.0,(221 Reviews),Private,Mumbai + 66 more,18 years old,1k-5k Employees (India)
16,Nilons Enterpris...,4.0,(220 Reviews),Private,"Pune,Maharashtra + 29 more",60 years old,501-1k Employees (India)
17,Aizant Drug Rese...,3.8,(220 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",17 years old,501-1k Employees (India)
18,UCO Bank,3.9,(220 Reviews),Public,"Kolkata,West Bengal + 67 more",79 years old,5k-10k Employees (India)
19,Electrosteel Cas...,3.9,(220 Reviews),Public,"Kolkata,West Bengal + 9 more",67 years old,1k-5k Employees (India)
20,Securitas,4.2,(220 Reviews),Private,Stockholm + 22 more,88 years old,10k-50k Employees (India)
21,LT Foods,4.4,(220 Reviews),Public,"Gurgaon/Gurugram,Haryana + 34 more",32 years old,201-500 Employees (India)
22,Indian Overseas ...,3.7,(220 Reviews),Private,"Chennai,Tamil Nadu + 57 more",85 years old,10k-50k Employees (India)
23,Indo Farm Equipm...,3.4,(220 Reviews),Private,"Solan,Madhya Pradesh + 30 more",28 years old,501-1k Employees (India)
24,Hamdard,4.1,(220 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 42 more",116 years old,501-1k Employees (India)
25,Citylife Retail,3.8,(220 Reviews),Private,"Kolkata,West Bengal + 47 more",16 years old,51-200 Employees (India)
26,Karvy Innotech,3.2,(220 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 32 more",10 years old,51-200 Employees (India)
27,Airtel DTH Servi...,4.3,(220 Reviews),Gurgaon + 79 more,14 years old,5k-10k Employees (India),
28,Kirloskar Ferrou...,3.9,(220 Reviews),Public,"Koppal,Karnataka + 10 more",31 years old,1k-5k Employees (India)
29,Himatsingka Seid...,3.7,(220 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",37 years old,1k-5k Employees (India)
0,Applied Material...,4.2,(220 Reviews),Private,"Santa Clara,California + 9 more",20 years old,1k-5k Employees (India)
1,ADNOC,4.6,(219 Reviews),Private,"Abu Dhabi,Abu Dhabi + 6 more",51 years old,1k-5k Employees (India)
2,National Fertili...,4.2,(219 Reviews),Public,Noida + 21 more,48 years old,1k-5k Employees (India)
3,Kirby Building S...,3.9,(219 Reviews),Private,Kuwait City + 18 more,24 years old,501-1k Employees (India)
4,L&T Valves,3.8,(219 Reviews),Private,"Chennai,Tamil Nadu + 9 more",61 years old,501-1k Employees (India)
5,TOPS,3.9,(219 Reviews),Private,"Delhi,NCT + 28 more",38 years old,501-1k Employees (India)
6,Electrical Resea...,3.8,(219 Reviews),Private,"Vadodara/Baroda,Gujarat + 20 more",48 years old,201-500 Employees (India)
7,Linkquest Teleco...,3.3,(219 Reviews),Private,"Noida,Uttar Pradesh + 33 more",26 years old,501-1k Employees (India)
8,NeoGrowth Credit,3.8,(219 Reviews),Private,"Mumbai,Maharashtra + 23 more",9 years old,501-1k Employees (India)
9,Nestaway,3.9,(219 Reviews),Private,"Bangalore,Karnataka + 12 more",7 years old,201-500 Employees (India)
10,Bmm Ispat,3.9,(219 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 7 more",46 years old,1k-5k Employees (India)
11,Jio Platforms,4.0,(219 Reviews),Navi Mumbai + 22 more,10k-50k Employees (India),,
12,SMEC,4.3,(218 Reviews),Private,"North Sydney,New South Wales + 46 more",52 years old,1k-5k Employees (India)
13,Astra Microwave ...,3.9,(218 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 6 more",31 years old,51-200 Employees (India)
14,Syndicate Bank,4.1,(218 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 55 more",97 years old,10k-50k Employees (India)
15,BCH Electric,4.2,(218 Reviews),Private,"Delhi/NCR,New Delhi + 24 more",57 years old,501-1k Employees (India)
16,Maxop Engineerin...,4.2,(218 Reviews),"Delhi/NCR,Delhi + 7 more",19 years old,201-500 Employees (India),
17,Precision Automa...,3.8,(218 Reviews),Private,"Satara,Maharashtra + 5 more",32 years old,1k-5k Employees (India)
18,Scania,4.3,(218 Reviews),Private,"Södertälje,Södertälje + 19 more",131 years old,201-500 Employees (India)
19,Aabasoft,4.4,(218 Reviews),Private,"Kochi/Cochin,Kerala + 5 more",20 years old,501-1k Employees (India)
20,El Seif Engineer...,4.4,(218 Reviews),Private,Riyadh + 13 more,47 years old,51-200 Employees (India)
21,KLAY Schools,4.4,(218 Reviews),Private,Bangalore + 15 more,11 years old,1k-5k Employees (India)
22,Kennametal,3.8,(218 Reviews),Public,"Latrobe,Pennsylvania + 8 more",84 years old,1k-5k Employees (India)
23,Novateur Electri...,3.8,(218 Reviews),Private,Chennai + 52 more,38 years old,501-1k Employees (India)
24,LogixHealth,3.6,(217 Reviews),Private,"Bedford,Massachusetts + 5 more",32 years old,501-1k Employees (India)
25,M*Modal,3.2,(217 Reviews),Private,"Franklin,Tennesse + 8 more",21 years old,1k-5k Employees (India)
26,Orient Bell,4.0,(217 Reviews),Public,"Delhi/NCR,Delhi + 44 more",45 years old,501-1k Employees (India)
27,Cordova Publicat...,2.9,(217 Reviews),Private,"Delhi/NCR,New Delhi + 45 more",13 years old,11-50 Employees (India)
28,Grass Roots Rese...,5.0,(217 Reviews),New Delhi + 11 more,51-200 Employees (India),,
29,Naaptol Online S...,3.2,(217 Reviews),Private,"Mumbai,Maharashtra + 20 more",14 years old,51-200 Employees (India)
0,DATAMARK BPO SER...,4.0,(217 Reviews),Private,El Paso + 6 more,33 years old,1k-5k Employees (India)
1,Mahindra Automot...,4.1,(217 Reviews),Chennai + 56 more,,,
2,Axa XL,3.7,(217 Reviews),Hamilton + 3 more,36 years old,1k-5k Employees (India),
3,Accelya Solution...,3.7,(217 Reviews),Private,"Mumbai,Maharashtra + 7 more",36 years old,1k-5k Employees (India)
4,Hitachi Hi-Rel P...,3.7,(216 Reviews),Private,"Ahmedabad,Gujarat + 22 more",39 years old,501-1k Employees (India)
5,IMS People,3.7,(216 Reviews),Private,Ahmedabad + 15 more,16 years old,501-1k Employees (India)
6,IOT Infrastructu...,4.2,(216 Reviews),Private,"Mumbai,Maharashtra + 23 more",26 years old,1k-5k Employees (India)
7,HungerBox,4.0,(216 Reviews),Private,"Bangalore,Karnataka + 13 more",6 years old,501-1k Employees (India)
8,TIBCO Software,4.2,(216 Reviews),Private,"Palo Alto,California + 7 more",25 years old,1k-5k Employees (India)
9,Adient,4.0,(216 Reviews),Private,"Plymouth,MI + 11 more",26 years old,501-1k Employees (India)
10,Foray Software,3.7,(216 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 12 more",11 years old,501-1k Employees (India)
11,Hical Technologi...,3.8,(216 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",34 years old,501-1k Employees (India)
12,Mahagun India,2.9,(216 Reviews),Private,"Noida,Uttar Pradesh + 4 more",27 years old,501-1k Employees (India)
13,Mothers Recipe,4.2,(216 Reviews),Private,"Pune,Maharashtra + 38 more",121 years old,501-1k Employees (India)
14,Kaynes Technolog...,3.2,(216 Reviews),Private,Mysore + 8 more,34 years old,501-1k Employees (India)
15,Hofincons Infote...,3.9,(216 Reviews),Chennai + 32 more,501-1k Employees (India),,
16,Harman Finochem,3.7,(216 Reviews),Private,"Mumbai,Maharashtra + 9 more",15 years old,501-1k Employees (India)
17,Owens Corning,4.1,(216 Reviews),Private,"Toledo,Ohio + 7 more",84 years old,1k-5k Employees (India)
18,Bosch Rexroth In...,4.1,(215 Reviews),Private,"Lohr A. Main,Bavaria + 12 more",21 years old,501-1k Employees (India)
19,Mjunction Servic...,3.9,(215 Reviews),JV,Kolkata + 16 more,21 years old,501-1k Employees (India)
20,Pepperfry,3.6,(215 Reviews),Private,"Mumbai,Maharashtra + 23 more",11 years old,201-500 Employees (India)
21,Netlink Software,3.8,(215 Reviews),Private,Madison Heights + 16 more,24 years old,1k-5k Employees (India)
22,GAVS Technologie...,4.1,(215 Reviews),Private,"Princeton,New Jersey + 8 more",24 years old,1k-5k Employees (India)
23,Rusan Pharma,3.3,(215 Reviews),Private,"Mumbai,Maharashtra + 10 more",28 years old,501-1k Employees (India)
24,Intercontinental...,4.0,(215 Reviews),Private,"Delhi/NCR,New Delhi + 40 more",35 years old,1k-5k Employees (India)
25,Invesco,4.1,(215 Reviews),Private,"Atlanta,Atlanta + 5 more",87 years old,1k-5k Employees (India)
26,Skill Lync,3.6,(215 Reviews),California + 7 more,7 years old,201-500 Employees (India),
27,IKEA,4.3,(215 Reviews),Private,Delft + 13 more,79 years old,10k-50k Employees (India)
28,Kellogg Brown an...,4.4,(215 Reviews),Public,"Houston,Texas + 19 more",24 years old,51-200 Employees (India)
29,Tube Investments...,4.2,(400 Reviews),Public,Chennai + 29 more,63 years old,1k-5k Employees (India)
0,Quinnox,4.1,(214 Reviews),Private,"Chicago,Illinois + 4 more",20 years old,1k-5k Employees (India)
1,METRO Global Bus...,4.3,(214 Reviews),Public,Pune + 1 more,11 years old,201-500 Employees (India)
2,Buhler,3.8,(214 Reviews),Private,"Uzwil,St. Gallen + 18 more",162 years old,501-1k Employees (India)
3,Walchandnagar In...,3.8,(214 Reviews),Public,"Mumbai,Maharashtra + 10 more",114 years old,1k-5k Employees (India)
