,name,rating,reviews,ctype,hq,old,employees
20,NTT DATA,4.0,(4.7k Reviews),Private,"Chiyoda City,Tokyo + 40 more",34 years old,10k-50k Employees (India)
21,HCL Group,3.8,(24.6k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
22,Udaan,4.1,(4.4k Reviews),Private,"Bangalore,Karnataka + 306 more",6 years old,1k-5k Employees (India)
23,HDFC Life,4.1,(5.7k Reviews),Public,"Mumbai,Maharashtra + 407 more",22 years old,10k-50k Employees (India)
24,Lupin,4.1,(4.4k Reviews),Public,"Mumbai,Maharashtra + 134 more",54 years old,10k-50k Employees (India)
25,Indian Army,4.7,(4.2k Reviews),Public,"New Delhi,Delhi + 270 more",127 years old,1 Lakh+ Employees (India)
26,EXL Service,3.9,(5.4k Reviews),Private,"New York City,New York + 30 more",23 years old,10k-50k Employees (India)
27,PwC,3.8,(4.1k Reviews),Partnership,London + 62 more,24 years old,10k-50k Employees (India)
28,L&T Infotech,3.9,(4.1k Reviews),Public,"Mumbai,Maharashtra + 76 more",26 years old,10k-50k Employees (India)
29,Home Credit Fina...,4.2,(4k Reviews),Private,Gurugram + 101 more,10 years old,5k-10k Employees (India)
0,UltraTech Cement,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 341 more",39 years old,10k-50k Employees (India)
1,Bajaj Finance,4.1,(4.4k Reviews),Private,"Pune,Maharashtra + 610 more",35 years old,10k-50k Employees (India)
2,ITC,3.9,(7.4k Reviews),Public,"Kolkata,West Bengal + 237 more",47 years old,10k-50k Employees (India)
3,Hindustan Unilev...,4.3,(4.5k Reviews),Public,"Mumbai,Maharashtra + 354 more",89 years old,10k-50k Employees (India)
4,Paytm,3.7,(4.5k Reviews),Public,Noida + 233 more,12 years old,10k-50k Employees (India)
5,Ujjivan Small Fi...,4.1,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 383 more",5 years old,10k-50k Employees (India)
6,KPMG,3.8,(3.9k Reviews),Partnership,Bengaluru/Bangalore + 53 more,35 years old,10k-50k Employees (Global)
7,Mindtree,4.1,(3.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 26 more",23 years old,10k-50k Employees (India)
8,iEnergizer,4.1,(3.7k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,10k-50k Employees (India)
9,OPPO,4.0,(3.9k Reviews),Public,"Dongguan,Guangdong + 321 more",18 years old,10k-50k Employees (India)
10,Zydus Cadila,4.2,(4.7k Reviews),Public,"Ahmedabad, India + 118 more",70 years old,10k-50k Employees (India)
11,IIFL,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 487 more",27 years old,10k-50k Employees (India)
12,JP Morgan Chase,4.2,(3.6k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
13,Shapoorji Pallon...,4.3,(6.8k Reviews),Private,"Mumbai,Maharashtra + 137 more",157 years old,5k-10k Employees (India)
14,Shriram Transpor...,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 669 more",43 years old,10k-50k Employees (India)
15,Sun Pharmaceutic...,4.1,(4.1k Reviews),Public,Mumbai + 150 more,39 years old,10k-50k Employees (India)
16,Ashok Leyland,4.1,(3.6k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
17,Vivo,4.1,(3.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 333 more",13 years old,5k-10k Employees (India)
18,Bandhan Bank,3.9,(3.6k Reviews),Public,"Kolkata,West Bengal + 540 more",21 years old,50k-1 Lakh Employees (India)
19,Mahindra & Mahin...,4.3,(5k Reviews),Public,"Mumbai,Maharashtra + 555 more",31 years old,10k-50k Employees (India)
20,Wells Fargo Indi...,4.2,(3.5k Reviews),Public,"San Francisco,California + 10 more",170 years old,10k-50k Employees (India)
21,Aurobindo Pharma,4.0,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,10k-50k Employees (India)
22,Fidelity Nationa...,4.1,(3.6k Reviews),Private,"Jacksonville,Florida + 32 more",54 years old,10k-50k Employees (India)
23,Delhivery,4.2,(3.8k Reviews),Private,"Delhi,NCT + 470 more",11 years old,10k-50k Employees (India)
24,Apollo Hospitals,4.1,(5.5k Reviews),Public,"San Francisco,California + 165 more",39 years old,50k-1 Lakh Employees (India)
25,Hewlett-Packard ...,4.3,(3.7k Reviews),Private,"Houston,Texas + 87 more",7 years old,10k-50k Employees (India)
26,Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
27,Siemens,4.2,(4.9k Reviews),Public,"Munich,Bavaria + 105 more",175 years old,10k-50k Employees (India)
28,Reliance Communi...,4.0,(4.1k Reviews),Public,"Navi Mumbai,Maharashtra + 369 more",20 years old,10k-50k Employees (India)
29,AU Small Finance...,4.0,(4.3k Reviews),Private,"Jaipur,Rajasthan + 289 more",26 years old,10k-50k Employees (India)
0,Nokia,4.2,(4.7k Reviews),Private,"Espoo,Southern Finland + 174 more",157 years old,10k-50k Employees (India)
1,eClerx,3.6,(3.2k Reviews),Public,"Mumbai,Maharashtra + 17 more",22 years old,10k-50k Employees (India)
