,Unnamed: 0,name,rating,reviews,ctype,hq,old,employees
572,2.0,Pantaloons,4.2,(859 Reviews),Public,"Mumbai,Maharashtra + 116 more",25 years old,10k-50k Employees (India)
573,3.0,Bharat Forge,3.9,(856 Reviews),Public,"Pune,Maharashtra + 12 more",61 years old,1k-5k Employees (India)
574,4.0,Vfs Global Servi...,3.8,(854 Reviews),Private,"Mumbai,Maharashtra + 22 more",21 years old,1k-5k Employees (India)
575,5.0,24-7 Intouch,3.1,(848 Reviews),Private,"Winnipeg,Manitoba + 6 more",21 years old,1k-5k Employees (India)
576,6.0,Saipem,4.0,(847 Reviews),Private,"San Donato Milanese,Milan + 32 more",65 years old,10k-50k Employees (Global)
577,7.0,Welspun,4.0,(845 Reviews),Private,Mumbai + 39 more,37 years old,5k-10k Employees (India)
578,8.0,Aptara,3.3,(845 Reviews),Private,"Falls Church,Virginia + 9 more",34 years old,1k-5k Employees (India)
579,9.0,Marico,4.1,(6.1k Reviews),Public,"Mumbai,Maharashtra + 116 more",32 years old,1k-5k Employees (India)
580,10.0,GMR Group,4.2,(1.7k Reviews),Public,"Delhi/NCR,New Delhi + 47 more",44 years old,5k-10k Employees (India)
581,11.0,Consolidated Con...,4.6,(843 Reviews),Public,"Marousi,Alger + 38 more",70 years old,1k-5k Employees (India)
582,12.0,Lumax Industries,4.0,(843 Reviews),Public,"Pune,Maharashtra + 25 more",77 years old,1k-5k Employees (India)
583,13.0,Jindal Saw,4.1,(843 Reviews),Public,"Delhi/NCR,New Delhi + 41 more",38 years old,1k-5k Employees (India)
584,14.0,SBICAP Securitie...,3.8,(843 Reviews),Government,"Mumbai,Maharashtra + 147 more",16 years old,5k-10k Employees (India)
585,15.0,Cinépolis,4.3,(842 Reviews),Morelia + 44 more,51 years old,1k-5k Employees (India),
586,16.0,Capgemini Engine...,3.8,(1.2k Reviews),Gurgaon/Gurugram + 11 more,1 Lakh+ Employees (India),,
587,17.0,Indiabulls Consu...,3.9,(840 Reviews),Public,"Mumbai,Maharashtra + 122 more",28 years old,1k-5k Employees (India)
588,18.0,Daimler India Co...,4.1,(840 Reviews),Private,"Chennai,Tamil Nadu + 32 more",136 years old,1k-5k Employees (India)
589,19.0,IDC Technologies,3.4,(839 Reviews),Private,"Milpitas,California + 48 more",19 years old,1k-5k Employees (India)
590,20.0,Team Computers,3.7,(839 Reviews),Private,"Delhi/NCR,Delhi + 65 more",35 years old,1k-5k Employees (India)
591,21.0,Suguna Foods,4.1,(839 Reviews),Private,"Coimbatore,Tamil Nadu + 124 more",38 years old,5k-10k Employees (India)
592,22.0,Unisys,3.9,(837 Reviews),Private,"Blue Bell,Pennsylvania + 9 more",36 years old,5k-10k Employees (India)
593,23.0,NoBroker,3.8,(1.2k Reviews),Private,"Bangalore,Karnataka + 22 more",8 years old,1k-5k Employees (India)
594,24.0,Gannon Dunkerley,3.9,(835 Reviews),Private,"Mumbai,Maharashtra + 56 more",98 years old,1k-5k Employees (India)
595,25.0,Heritage Foods ...,4.0,(835 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 74 more",30 years old,1k-5k Employees (India)
596,26.0,SBI General Insu...,4.0,(834 Reviews),JV,"Mumbai,Maharashtra + 151 more",13 years old,10k-50k Employees (India)
597,27.0,ESAF Microfinanc...,3.9,(833 Reviews),Private,"Thrissur/Trichur,Kerala + 175 more",6 years old,1k-5k Employees (India)
598,28.0,Unacademy,3.4,(943 Reviews),Private,"Bangalore,Karnataka + 40 more",7 years old,1k-5k Employees (India)
599,29.0,Vertex Customer ...,3.5,(831 Reviews),Private,Panchkula + 30 more,12 years old,5k-10k Employees (India)
600,0.0,Amity University,3.8,(827 Reviews),Private,"Noida,Uttar Pradesh + 67 more",17 years old,1k-5k Employees (India)
601,1.0,Indiabulls Home ...,4.0,(826 Reviews),"Gurgaon/Gurugram,Haryana + 106 more",17 years old,5k-10k Employees (India),
602,2.0,Oracle Financial...,3.8,(825 Reviews),Public,Mumbai + 13 more,32 years old,50k-1 Lakh Employees (India)
603,3.0,Collabera Techno...,3.6,(825 Reviews),Private,"Basking Ridge,New Jersey + 39 more",31 years old,1k-5k Employees (India)
604,4.0,Haier Appliances...,3.9,(822 Reviews),Private,Qingdao + 76 more,18 years old,1k-5k Employees (India)
605,5.0,Spicejet,3.6,(820 Reviews),Public,"Gurgaon/Gurugram,Haryana + 50 more",18 years old,5k-10k Employees (India)
606,6.0,Indian Railways,4.1,(2.6k Reviews),Govt Organisation,"Delhi/NCR,Delhi + 128 more",169 years old,1 Lakh+ Employees (India)
607,7.0,Frankfinn Instit...,3.9,(815 Reviews),Private,"Gurgaon/Gurugram,Haryana + 50 more",29 years old,1k-5k Employees (India)
608,8.0,Paisabazaar.com,3.9,(814 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",8 years old,1k-5k Employees (India)
